NAP/OR/004 | 2026-07-27 to 2026-07-27 | Span: 1 | Paid: 0.5 | Total: 0.5
NAP/TR/006 | 2026-07-31 to 2026-07-31 | Span: 1 | Paid: 0.5 | Total: 0.5
NAP/TR/001 | 2026-06-15 to 2026-06-15 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/002 | 2026-06-15 to 2026-06-16 | Span: 2 | Paid: 2 | Total: 2
NAP/TR/003 | 2026-06-24 to 2026-06-24 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/005 | 2026-06-22 to 2026-06-22 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/007 | 2026-06-13 to 2026-06-13 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/008 | 2026-06-22 to 2026-06-22 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/009 | 2026-06-17 to 2026-06-17 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/010 | 2026-06-08 to 2026-06-27 | Span: 20 | Paid: 3 | Total: 3
NAP/TR/012 | 2026-06-13 to 2026-06-13 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/016 | 2026-06-15 to 2026-06-16 | Span: 2 | Paid: 2 | Total: 2
NAP/OR/001 | 2026-06-09 to 2026-06-25 | Span: 17 | Paid: 3 | Total: 3
NAP/OR/002 | 2026-06-15 to 2026-06-17 | Span: 3 | Paid: 1.5 | Total: 1.5
NAP/HR/001 | 2026-06-17 to 2026-06-17 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/001 | 2026-07-06 to 2026-07-13 | Span: 8 | Paid: 4.5 | Total: 4.5
NAP/TR/004 | 2026-07-13 to 2026-07-17 | Span: 5 | Paid: 1.5 | Total: 1.5
NAP/TR/008 | 2026-07-07 to 2026-07-07 | Span: 1 | Paid: 0.5 | Total: 0.5
NAP/TR/010 | 2026-07-15 to 2026-07-15 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/012 | 2026-07-02 to 2026-07-13 | Span: 12 | Paid: 2.5 | Total: 2.5
NAP/TR/015 | 2026-07-28 to 2026-07-31 | Span: 4 | Paid: 3.5 | Total: 3.5
NAP/OR/001 | 2026-07-08 to 2026-07-14 | Span: 7 | Paid: 1.5 | Total: 1.5
NAP/OR/002 | 2026-07-14 to 2026-07-14 | Span: 1 | Paid: 1 | Total: 1
NAP/OR/004 | 2026-07-29 to 2026-07-29 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/001 | 2026-06-15 to 2026-06-15 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/002 | 2026-06-15 to 2026-06-16 | Span: 2 | Paid: 2 | Total: 2
NAP/TR/003 | 2026-06-24 to 2026-06-24 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/005 | 2026-06-22 to 2026-06-22 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/007 | 2026-06-13 to 2026-06-13 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/008 | 2026-06-22 to 2026-06-22 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/009 | 2026-06-17 to 2026-06-17 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/010 | 2026-06-08 to 2026-06-27 | Span: 20 | Paid: 3 | Total: 3
NAP/TR/012 | 2026-06-13 to 2026-06-13 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/016 | 2026-06-15 to 2026-06-16 | Span: 2 | Paid: 2 | Total: 2
NAP/OR/001 | 2026-06-09 to 2026-06-25 | Span: 17 | Paid: 3 | Total: 3
NAP/OR/002 | 2026-06-15 to 2026-06-17 | Span: 3 | Paid: 1.5 | Total: 1.5
NAP/HR/001 | 2026-06-17 to 2026-06-17 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/001 | 2026-07-06 to 2026-07-13 | Span: 8 | Paid: 4.5 | Total: 4.5
NAP/TR/004 | 2026-07-13 to 2026-07-17 | Span: 5 | Paid: 1.5 | Total: 1.5
NAP/TR/008 | 2026-07-07 to 2026-07-07 | Span: 1 | Paid: 0.5 | Total: 0.5
NAP/TR/010 | 2026-07-15 to 2026-07-15 | Span: 1 | Paid: 1 | Total: 1
NAP/TR/012 | 2026-07-02 to 2026-07-13 | Span: 12 | Paid: 2.5 | Total: 2.5
NAP/TR/015 | 2026-07-28 to 2026-07-31 | Span: 4 | Paid: 3.5 | Total: 3.5
NAP/OR/001 | 2026-07-08 to 2026-07-14 | Span: 7 | Paid: 1.5 | Total: 1.5
NAP/OR/002 | 2026-07-14 to 2026-07-14 | Span: 1 | Paid: 1 | Total: 1
NAP/OR/004 | 2026-07-29 to 2026-07-29 | Span: 1 | Paid: 1 | Total: 1
